"height","weight","age","playedPositions","playedPositionsShort","name","firstName","lastName","playerId"
175,69,30,-AMC-AML-AMR-FW-,"AM(CLR),FW",Sadio Mané,Sadio,Mané,109915
173,64,28,-FW-MC-ML-MR-,"M(CLR),FW",Bernardo Silva,Bernardo,Mota Veiga de Carvalho e Silva,136741
175,73,25,-AML-AMR-FW-,"AM(LR),FW",Gabriel Jesus,Gabriel Fernando,de Jesus,279379
188,86,29,-AMC-FW-,"AM(C),FW",Harry Kane,Harry,Kane,83532
171,70,22,-AMC-AML-AMR-FW-,"AM(CLR),FW",Phil Foden,Phil,Foden,331254
182,0,20,-AMC-,AM(C),Cole Palmer,Cole,Palmer,395692
190,83,32,-FW-,FW,Christian Benteke,Christian,Benteke,68312
178,68,26,-AMC-AML-AMR-FW-,"AM(CLR),FW",Diogo Jota,Diogo José,Teixeira da Silva,235755
179,70,26,-FW-,FW,Ivan Toney,Ivan,Toney,134240
172,72,30,-AMC-AML-AMR-FW-,"AM(CLR),FW",Lucas Moura,Lucas,Rodrigues Moura da Silva,92508
181,76,31,-FW-MC-ML-MR-,"M(CLR),FW",Roberto Firmino,Roberto Firmino,Barbosa de Oliveira,96182
187,83,38,-FW-ML-,"M(L),FW",Cristiano Ronaldo,Cristiano Ronaldo,dos Santos Aveiro,5583
193,83,23,-FW-MC-MR-,"M(CR),FW",Kai Havertz,Kai,Havertz,326413
175,72,23,-FW-,FW,Eddie Nketiah,Eddie,Nketiah,345845
184,77,22,-AML-AMR-FW-,"AM(LR),FW",Ferran Torres,Ferran,Torres,349760
173,67,25,-AMC-AML-AMR-FW-,"AM(CLR),FW",Allan Saint-Maximin,Allan,Saint-Maximin,135891
180,76,22,-AMC-AML-AMR-,AM(CLR),Jadon Sancho,Jadon,Sancho,346300
181,70,21,-AMR-FW-,"AM(R),FW",Mason Greenwood,Mason,Greenwood,367782
186,81,26,-AMC-AML-AMR-FW-,"AM(CLR),FW",Joelinton,Joelinton Cássio,Apolinário de Lira,201755
191,93,29,-AMR-FW-,"AM(R),FW",Romelu Lukaku,Romelu,Lukaku,78498
175,70,26,-AMC-AML-AMR-FW-,"AM(CLR),FW",Jarrod Bowen,Jarrod,Bowen,322596
179,74,36,-AML-FW-,"AM(L),FW",Jamie Vardy,Jamie,Vardy,106981
180,71,30,-AMC-AML-FW-,"AM(CL),FW",Matej Vydra,Matej,Vydra,84129
175,73,31,-FW-MC-ML-MR-,"M(CLR),FW",Alexandre Lacazette,Alexandre,Lacazette,73078
180,75,24,-AMC-AMR-FW-,"AM(CR),FW",Tyler Roberts,Tyler,Roberts,280771
185,73,32,-AMC-AML-AMR-FW-,"AM(CLR),FW",Danny Welbeck,Danny,Welbeck,39308
175,67,25,-FW-ML-MR-,"M(LR),FW",Emmanuel Dennis,Emmanuel,Dennis,329811
176,68,26,-AML-AMR-FW-,"AM(LR),FW",Raphinha,Raphael,Dias Belloli,300447
172,67,27,-AMC-AML-AMR-,AM(CLR),Saïd Benrahma,Saïd,Benrahma,137021
172,69,22,-AMC-AML-AMR-FW-,"AM(CLR),FW",Pedro Neto,Pedro,Lomba Neto,337916
192,88,25,-FW-,FW,Jean-Philippe Mateta,Jean-Philippe,Mateta,328096
187,71,25,-AML-FW-,"AM(L),FW",Dominic Calvert-Lewin,Dominic,Calvert-Lewin,141469
175,76,27,-AMC-AML-FW-,"AM(CL),FW",Jack Grealish,Jack,Grealish,113069
172,61,28,-FW-MC-ML-MR-,"M(CLR),FW",Leandro Trossard,Leandro,Trossard,113994
179,67,31,-AMC-AML-AMR-FW-,"AM(CLR),FW",Riyad Mahrez,Riyad,Mahrez,104749
180,82,32,-DR-FW-MC-ML-MR-,"D(R),M(CLR),FW",Michail Antonio,Michail,Antonio,69517
178,86,27,-FW-MC-ML-MR-,"M(CLR),FW",Adama Traoré,Adama,Traoré,140088
173,69,28,-AMC-AML-AMR-FW-,"AM(CLR),FW",Nathan Redmond,Nathan,Redmond,86425
182,70,21,-AMC-AML-FW-,"AM(CL),FW",João Pedro,João Pedro,Junqueira de Jesus,373525
180,70,27,-AML-AMR-FW-,"AM(LR),FW",Ollie Watkins,Ollie,Watkins,148503
177,75,26,-ML-MR-,M(LR),Sergi Canós,Sergi,Canós,295964
182,76,22,-MC-ML-MR-,M(CLR),Callum Hudson-Odoi,Callum,Hudson-Odoi,350088
175,70,26,-AMC-AML-FW-,"AM(CL),FW",Che Adams,Che,Adams,256419
165,58,27,-AMC-AML-AMR-FW-,"AM(CLR),FW",Daniel Podence,Daniel,Castelo Podence,300513
185,82,26,-AMC-FW-,"AM(C),FW",Kelechi Iheanacho,Kelechi,Iheanacho,289253
191,0,21,-FW-,FW,Armando Broja,Armando,Broja,393407
184,77,30,-FW-MC-ML-MR-,"M(CLR),FW",Son Heung-Min,Heung-Min,Son,91909
187,80,33,-FW-MC-ML-MR-,"M(CLR),FW",Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,44120
180,75,26,-AMC-AML-AMR-FW-,"AM(CLR),FW",Timo Werner,Timo,Werner,130903
180,74,31,-AMC-AML-AMR-FW-,"AM(CLR),FW",Joshua King,Joshua,King,81026
191,81,31,-FW-,FW,Chris Wood,Chris,Wood,73380
0,0,23,-AML-AMR-FW-,"AM(LR),FW",Nathan Tella,Nathan,Tella,395472
187,83,25,-AML-FW-,"AM(L),FW",Odsonne Édouard,Odsonne,Édouard,317504
178,73,30,-AMC-FW-,"AM(C),FW",Danny Ings,Danny,Ings,91762
190,76,31,-FW-,FW,Raúl Jiménez,Raúl,Jiménez,108186
185,84,34,-AMC-AML-AMR-FW-,"AM(CLR),FW",Jay Rodríguez,Jay,Rodríguez,33891
165,63,35,-ML-MR-,M(LR),Aaron Lennon,Aaron,Lennon,5625
178,81,36,-AMR-FW-,"AM(R),FW",Shane Long,Shane,Long,13798
197,84,30,-FW-,FW,Wout Weghorst,Wout,Weghorst,115479
180,69,27,-MC-MR-,M(CR),Josh Brownhill,Josh,Brownhill,138929
173,64,23,-AML-AMR-FW-,"AM(LR),FW",Bryan Mbeumo,Bryan,Mbeumo,353377
180,66,30,-AML-AMR-FW-,"AM(LR),FW",Wilfried Zaha,Wilfried,Zaha,85059
184,83,25,-AMC-AML-AMR-FW-,"AM(CLR),FW",Richarlison,Richarlison,de Andrade,317804
180,66,30,-FW-,FW,Callum Wilson,Callum,Wilson,134115
178,67,26,-MC-ML-MR-,M(CLR),Pablo Fornals,Pablo,Fornals,297203
190,83,21,-FW-,FW,Adam Idah,Adam,Idah,382368
172,69,28,-FW-MC-ML-MR-,"M(CLR),FW",Raheem Sterling,Raheem,Sterling,97692
188,78,23,-MC-ML-,M(CL),Jakub Moder,Jakub,Moder,399378
175,73,26,-AMC-AML-AMR-,AM(CLR),James Maddison,James,Maddison,137015
179,69,26,-DL-FW-ML-MR-,"D(L),M(LR),FW",Maxwel Cornet,Maxwel,Cornet,125004
173,69,26,-AMC-FW-,"AM(C),FW",Neal Maupay,Neal,Maupay,119822
163,55,22,-DR-MR-,"D(R),M(R)",Tariq Lamptey,Tariq,Lamptey,386979
176,69,24,-FW-MC-ML-,"M(CL),FW",Alexis Mac Allister,Alexis,Mac Allister,345319
182,77,31,-FW-MC-ML-MR-,"M(CLR),FW",Rodrigo,Rodrigo,Moreno Machado,83459
175,70,26,-AMC-AML-AMR-FW-,"AM(CLR),FW",Jack Harrison,Jack,Harrison,317896
183,71,24,-FW-,FW,Patson Daka,Patson,Daka,345560
179,69,28,-MC-ML-MR-,M(CLR),Bruno Fernandes,Bruno Miguel,Borges Fernandes,123761
174,69,25,-AMC-AML-AMR-FW-,"AM(CLR),FW",Adam Armstrong,Adam,Armstrong,136460
184,71,35,-AML-AMR-FW-,"AM(LR),FW",Edinson Cavani,Edinson,Cavani,24328
176,74,26,-AML-FW-,"AM(L),FW",Yoane Wissa,Yoane,Wissa,296240
175,78,25,-AMC-AML-AMR-FW-,"AM(CLR),FW",Steven Bergwijn,Steven,Bergwijn,279425
180,75,32,-AMC-FW-,"AM(C),FW",Teemu Pukki,Teemu,Pukki,25028
185,71,29,-AMC-AML-AMR-FW-,"AM(CLR),FW",Patrick Bamford,Patrick,Bamford,109670
179,69,24,-FW-MC-ML-MR-,"M(CLR),FW",Christian Pulisic,Christian,Pulisic,302692
178,77,25,-FW-MC-ML-MR-,"M(CLR),FW",Leon Bailey,Leon,Bailey,327682
180,74,26,-AMC-AML-AMR-FW-,"AM(CLR),FW",Demarai Gray,Demarai,Gray,136945
186,77,33,-AMC-AML-FW-,"AM(CL),FW",Ashley Barnes,Ashley,Barnes,33386
186,86,33,-FW-,FW,Salomón Rondón,Salomón,Rondón,25964
174,71,25,-AMC-AML-AMR-FW-,"AM(CLR),FW",Ademola Lookman,Ademola,Lookman,299451
175,65,20,-FW-,FW,Joe Gelhardt,Joe,Gelhardt,362192
171,63,25,-AMC-AML-AMR-FW-,"AM(CLR),FW",Dan James,Dan,James,302313
