"teamId","teamName","teamRegionName"
26,Liverpool,England
167,Manchester City,England
30,Tottenham,England
162,Crystal Palace,England
189,Brentford,England
32,Manchester United,England
15,Chelsea,England
13,Arsenal,England
23,Newcastle,England
29,West Ham,England
14,Leicester,England
184,Burnley,England
19,Leeds,England
211,Brighton,England
27,Watford,England
161,Wolverhampton,England
31,Everton,England
18,Southampton,England
24,Aston Villa,England
168,Norwich,England
175,West Bromwich,England
163,Sheffield United,England
170,Fulham,England
183,Bournemouth,England
86,Udinese,Italy
300,Atalanta,Italy
78,Cagliari,Italy
278,Genoa,Italy
80,AC Milan,Italy
276,Napoli,Italy
73,Fiorentina,Italy
75,Inter,Italy
77,Lazio,Italy
87,Juventus,Italy
143,Salernitana,Italy
84,Roma,Italy
271,Sampdoria,Italy
76,Verona,Italy
85,Venezia,Italy
2889,Sassuolo,Italy
71,Bologna,Italy
72,Torino,Italy
272,Empoli,Italy
1501,Spezia,Italy
779,Crotone,Italy
24341,Parma Calcio 1913,Italy
1503,Benevento,Italy
1502,SPAL 2013,Italy
79,Lecce,Italy
144,Brescia,Italy
60,Deportivo Alaves,Spain
52,Real Madrid,Spain
839,Villarreal,Spain
63,Atletico Madrid,Spain
832,Levante,Spain
55,Valencia,Spain
65,Barcelona,Spain
70,Espanyol,Spain
62,Celta Vigo,Spain
51,Mallorca,Spain
68,Real Sociedad,Spain
67,Sevilla,Spain
819,Getafe,Spain
925,Granada,Spain
131,Osasuna,Spain
1354,Cadiz,Spain
833,Elche,Spain
53,Athletic Bilbao,Spain
54,Real Betis,Spain
64,Rayo Vallecano,Spain
5006,SD Huesca,Spain
824,Eibar,Spain
58,Real Valladolid,Spain
825,Leganes,Spain
7614,RB Leipzig,Germany
37,Bayern Munich,Germany
33,Wolfsburg,Germany
44,Borussia Dortmund,Germany
36,Bayer Leverkusen,Germany
1730,Augsburg,Germany
219,Mainz 05,Germany
41,VfB Stuttgart,Germany
50,Freiburg,Germany
134,Borussia M.Gladbach,Germany
282,FC Koln,Germany
796,Union Berlin,Germany
1211,Hoffenheim,Germany
40,Arminia Bielefeld,Germany
47,Hertha Berlin,Germany
45,Eintracht Frankfurt,Germany
89,Greuther Fuerth,Germany
109,Bochum,Germany
42,Werder Bremen,Germany
39,Schalke 04,Germany
1150,Fortuna Duesseldorf,Germany
810,Paderborn,Germany
304,Paris Saint-Germain,France
148,Strasbourg,France
313,Rennes,France
311,Montpellier,France
228,Lyon,France
950,Reims,France
