ID,duelAerialLost,duelAerialTotal,duelAerialWon
0,13.0,23.0,10.0
1,2.0,3.0,1.0
2,16.0,23.0,7.0
3,77.0,148.0,71.0
4,12.0,13.0,1.0
5,0.0,2.0,2.0
6,37.0,103.0,66.0
7,49.0,71.0,22.0
8,115.0,260.0,145.0
9,4.0,11.0,7.0
10,20.0,30.0,10.0
11,62.0,101.0,39.0
12,41.0,69.0,28.0
13,22.0,30.0,8.0
14,1.0,5.0,4.0
15,10.0,18.0,8.0
16,1.0,1.0,0.0
17,2.0,4.0,2.0
18,24.0,39.0,15.0
19,42.0,85.0,43.0
20,11.0,14.0,3.0
21,43.0,66.0,23.0
22,21.0,27.0,6.0
23,38.0,52.0,14.0
24,3.0,4.0,1.0
25,37.0,70.0,33.0
26,37.0,53.0,16.0
27,0.0,1.0,1.0
28,1.0,1.0,0.0
29,2.0,3.0,1.0
30,36.0,64.0,28.0
31,90.0,179.0,89.0
32,6.0,10.0,4.0
33,10.0,14.0,4.0
34,1.0,1.0,0.0
35,113.0,192.0,79.0
36,1.0,1.0,0.0
37,9.0,11.0,2.0
38,53.0,76.0,23.0
39,85.0,144.0,59.0
40,3.0,4.0,1.0
41,2.0,2.0,0.0
42,88.0,145.0,57.0
43,5.0,6.0,1.0
44,27.0,38.0,11.0
45,120.0,191.0,71.0
46,10.0,13.0,3.0
47,27.0,48.0,21.0
48,10.0,13.0,3.0
49,99.0,177.0,78.0
50,96.0,206.0,110.0
51,3.0,5.0,2.0
52,32.0,54.0,22.0
53,34.0,55.0,21.0
54,80.0,138.0,58.0
55,47.0,78.0,31.0
56,2.0,3.0,1.0
57,10.0,26.0,16.0
58,78.0,131.0,53.0
59,2.0,4.0,2.0
60,94.0,119.0,25.0
61,6.0,7.0,1.0
62,119.0,165.0,46.0
63,48.0,77.0,29.0
64,90.0,183.0,93.0
65,5.0,7.0,2.0
66,19.0,28.0,9.0
67,6.0,7.0,1.0
68,0.0,0.0,0.0
69,0.0,2.0,2.0
70,34.0,50.0,16.0
71,49.0,69.0,20.0
72,1.0,1.0,0.0
73,2.0,3.0,1.0
74,12.0,17.0,5.0
75,2.0,2.0,0.0
76,34.0,47.0,13.0
77,1.0,3.0,2.0
78,22.0,35.0,13.0
79,14.0,16.0,2.0
80,8.0,14.0,6.0
81,2.0,3.0,1.0
82,74.0,89.0,15.0
83,14.0,19.0,5.0
84,11.0,13.0,2.0
85,6.0,6.0,0.0
86,3.0,3.0,0.0
87,43.0,83.0,40.0
88,45.0,77.0,32.0
89,1.0,1.0,0.0
90,9.0,12.0,3.0
91,30.0,33.0,3.0
92,1.0,2.0,1.0
93,3.0,4.0,1.0
94,6.0,8.0,2.0
95,13.0,20.0,7.0
96,0.0,0.0,0.0
97,4.0,6.0,2.0
98,0.0,1.0,1.0
99,2.0,4.0,2.0
100,1.0,1.0,0.0
101,2.0,2.0,0.0
102,3.0,3.0,0.0
103,1.0,2.0,1.0
104,18.0,24.0,6.0
105,0.0,0.0,0.0
106,2.0,2.0,0.0
107,1.0,1.0,0.0
108,2.0,3.0,1.0
109,1.0,1.0,0.0
110,2.0,3.0,1.0
111,1.0,3.0,2.0
112,1.0,2.0,1.0
113,0.0,0.0,0.0
114,2.0,2.0,0.0
115,114.0,190.0,76.0
116,4.0,4.0,0.0
117,5.0,6.0,1.0
118,5.0,11.0,6.0
119,0.0,1.0,1.0
120,142.0,326.0,184.0
121,1.0,2.0,1.0
122,0.0,0.0,0.0
123,3.0,4.0,1.0
124,45.0,61.0,16.0
125,4.0,12.0,8.0
126,88.0,157.0,69.0
127,70.0,90.0,20.0
128,134.0,286.0,152.0
129,156.0,292.0,136.0
130,31.0,39.0,8.0
131,67.0,116.0,49.0
132,51.0,70.0,19.0
133,24.0,57.0,33.0
134,6.0,10.0,4.0
135,89.0,199.0,110.0
136,7.0,16.0,9.0
137,18.0,29.0,11.0
138,17.0,23.0,6.0
139,13.0,19.0,6.0
140,74.0,120.0,46.0
141,72.0,118.0,46.0
142,21.0,29.0,8.0
143,58.0,112.0,54.0
144,9.0,13.0,4.0
145,6.0,7.0,1.0
146,92.0,135.0,43.0
147,2.0,3.0,1.0
148,34.0,51.0,17.0
149,7.0,7.0,0.0
150,67.0,88.0,21.0
151,42.0,66.0,24.0
152,1.0,1.0,0.0
153,129.0,180.0,51.0
154,3.0,4.0,1.0
155,67.0,129.0,62.0
156,201.0,355.0,154.0
157,87.0,154.0,67.0
158,9.0,10.0,1.0
159,15.0,22.0,7.0
160,7.0,13.0,6.0
161,28.0,44.0,16.0
162,13.0,26.0,13.0
163,16.0,20.0,4.0
164,23.0,41.0,18.0
165,30.0,46.0,16.0
166,6.0,8.0,2.0
167,5.0,11.0,6.0
168,3.0,3.0,0.0
169,8.0,13.0,5.0
170,82.0,133.0,51.0
171,51.0,77.0,26.0
172,70.0,123.0,53.0
173,5.0,6.0,1.0
174,18.0,23.0,5.0
175,57.0,82.0,25.0
176,13.0,25.0,12.0
177,43.0,66.0,23.0
178,5.0,7.0,2.0
179,2.0,2.0,0.0
180,4.0,7.0,3.0
181,3.0,3.0,0.0
182,11.0,15.0,4.0
183,1.0,1.0,0.0
184,79.0,114.0,35.0
185,4.0,7.0,3.0
186,15.0,22.0,7.0
187,47.0,64.0,17.0
188,15.0,45.0,30.0
189,25.0,33.0,8.0
190,3.0,6.0,3.0
191,3.0,4.0,1.0
192,32.0,54.0,22.0
193,2.0,3.0,1.0
194,55.0,72.0,17.0
195,2.0,5.0,3.0
196,0.0,3.0,3.0
197,6.0,9.0,3.0
198,4.0,4.0,0.0
199,24.0,29.0,5.0
200,3.0,4.0,1.0
201,30.0,41.0,11.0
202,10.0,10.0,0.0
203,4.0,5.0,1.0
204,4.0,7.0,3.0
205,50.0,60.0,10.0
206,4.0,5.0,1.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,5.0,11.0,6.0
210,35.0,58.0,23.0
211,5.0,6.0,1.0
212,0.0,0.0,0.0
213,1.0,1.0,0.0
214,18.0,27.0,9.0
215,22.0,27.0,5.0
216,1.0,2.0,1.0
217,5.0,7.0,2.0
218,6.0,7.0,1.0
219,1.0,1.0,0.0
220,1.0,3.0,2.0
221,3.0,4.0,1.0
222,1.0,2.0,1.0
223,4.0,7.0,3.0
224,2.0,2.0,0.0
225,47.0,75.0,28.0
226,85.0,160.0,75.0
227,24.0,71.0,47.0
228,5.0,6.0,1.0
229,11.0,14.0,3.0
230,6.0,10.0,4.0
231,64.0,84.0,20.0
232,195.0,395.0,200.0
233,37.0,84.0,47.0
234,116.0,190.0,74.0
235,101.0,141.0,40.0
236,4.0,6.0,2.0
237,118.0,205.0,87.0
238,98.0,219.0,121.0
239,4.0,4.0,0.0
240,68.0,91.0,23.0
241,96.0,149.0,53.0
242,1.0,2.0,1.0
243,75.0,115.0,40.0
244,97.0,177.0,80.0
245,277.0,474.0,197.0
246,21.0,37.0,16.0
247,7.0,13.0,6.0
248,14.0,20.0,6.0
249,167.0,332.0,165.0
250,53.0,82.0,29.0
251,97.0,188.0,91.0
252,2.0,2.0,0.0
253,203.0,372.0,169.0
254,23.0,28.0,5.0
255,117.0,196.0,79.0
256,144.0,212.0,68.0
257,0.0,0.0,0.0
258,6.0,12.0,6.0
259,15.0,22.0,7.0
260,43.0,61.0,18.0
261,119.0,185.0,66.0
262,203.0,356.0,153.0
263,26.0,33.0,7.0
264,32.0,41.0,9.0
265,182.0,293.0,111.0
266,51.0,81.0,30.0
267,32.0,57.0,25.0
268,93.0,162.0,69.0
269,86.0,149.0,63.0
270,82.0,101.0,19.0
271,3.0,3.0,0.0
272,3.0,3.0,0.0
273,16.0,31.0,15.0
274,18.0,20.0,2.0
275,10.0,17.0,7.0
276,6.0,8.0,2.0
277,68.0,111.0,43.0
278,39.0,51.0,12.0
279,39.0,68.0,29.0
280,7.0,8.0,1.0
281,2.0,4.0,2.0
282,29.0,41.0,12.0
283,0.0,1.0,1.0
284,42.0,47.0,5.0
285,33.0,49.0,16.0
286,22.0,31.0,9.0
287,2.0,3.0,1.0
288,145.0,207.0,62.0
289,63.0,99.0,36.0
290,8.0,14.0,6.0
291,9.0,15.0,6.0
292,2.0,2.0,0.0
293,0.0,0.0,0.0
294,29.0,42.0,13.0
295,0.0,0.0,0.0
296,12.0,16.0,4.0
297,4.0,5.0,1.0
298,20.0,31.0,11.0
299,11.0,15.0,4.0
300,2.0,4.0,2.0
301,0.0,0.0,0.0
302,18.0,29.0,11.0
303,2.0,3.0,1.0
304,5.0,7.0,2.0
305,3.0,3.0,0.0
306,0.0,1.0,1.0
307,1.0,2.0,1.0
308,1.0,4.0,3.0
309,1.0,1.0,0.0
310,3.0,7.0,4.0
311,8.0,13.0,5.0
312,0.0,0.0,0.0
313,24.0,42.0,18.0
314,2.0,2.0,0.0
315,16.0,45.0,29.0
316,57.0,106.0,49.0
317,33.0,74.0,41.0
318,13.0,16.0,3.0
319,46.0,69.0,23.0
320,10.0,17.0,7.0
321,6.0,8.0,2.0
322,30.0,58.0,28.0
323,12.0,19.0,7.0
324,1.0,1.0,0.0
325,4.0,5.0,1.0
326,71.0,267.0,196.0
327,47.0,131.0,84.0
328,68.0,143.0,75.0
329,6.0,11.0,5.0
330,3.0,4.0,1.0
331,81.0,159.0,78.0
332,42.0,80.0,38.0
333,14.0,29.0,15.0
334,14.0,20.0,6.0
335,2.0,2.0,0.0
336,3.0,4.0,1.0
337,12.0,13.0,1.0
338,1.0,1.0,0.0
339,3.0,3.0,0.0
340,2.0,5.0,3.0
341,0.0,1.0,1.0
342,20.0,39.0,19.0
343,112.0,178.0,66.0
344,4.0,5.0,1.0
345,30.0,75.0,45.0
346,30.0,41.0,11.0
347,3.0,4.0,1.0
348,8.0,13.0,5.0
349,107.0,161.0,54.0
350,39.0,64.0,25.0
351,25.0,45.0,20.0
352,11.0,21.0,10.0
353,4.0,6.0,2.0
354,125.0,200.0,75.0
355,1.0,2.0,1.0
356,123.0,190.0,67.0
357,16.0,21.0,5.0
358,22.0,32.0,10.0
359,19.0,31.0,12.0
360,6.0,17.0,11.0
361,1.0,3.0,2.0
362,31.0,53.0,22.0
363,5.0,8.0,3.0
364,17.0,27.0,10.0
365,108.0,168.0,60.0
366,73.0,152.0,79.0
367,0.0,2.0,2.0
368,16.0,25.0,9.0
369,6.0,15.0,9.0
370,25.0,41.0,16.0
371,38.0,58.0,20.0
372,1.0,1.0,0.0
373,69.0,142.0,73.0
374,98.0,153.0,55.0
375,1.0,3.0,2.0
376,81.0,135.0,54.0
377,3.0,4.0,1.0
378,11.0,11.0,0.0
379,66.0,110.0,44.0
380,35.0,55.0,20.0
381,13.0,15.0,2.0
382,0.0,0.0,0.0
383,14.0,17.0,3.0
384,28.0,44.0,16.0
385,10.0,19.0,9.0
386,6.0,19.0,13.0
387,31.0,45.0,14.0
388,22.0,30.0,8.0
389,3.0,3.0,0.0
390,30.0,49.0,19.0
391,24.0,32.0,8.0
392,8.0,13.0,5.0
393,2.0,6.0,4.0
394,13.0,22.0,9.0
395,29.0,44.0,15.0
396,3.0,11.0,8.0
397,1.0,1.0,0.0
398,30.0,45.0,15.0
399,6.0,11.0,5.0
400,0.0,1.0,1.0
401,26.0,41.0,15.0
402,0.0,0.0,0.0
403,1.0,4.0,3.0
404,8.0,10.0,2.0
405,5.0,9.0,4.0
406,5.0,15.0,10.0
407,1.0,1.0,0.0
408,11.0,14.0,3.0
409,0.0,0.0,0.0
410,1.0,2.0,1.0
411,3.0,3.0,0.0
412,11.0,12.0,1.0
413,7.0,8.0,1.0
414,7.0,9.0,2.0
415,4.0,7.0,3.0
416,3.0,6.0,3.0
417,4.0,4.0,0.0
418,1.0,1.0,0.0
419,2.0,3.0,1.0
420,6.0,8.0,2.0
421,3.0,4.0,1.0
422,2.0,2.0,0.0
423,2.0,4.0,2.0
424,1.0,3.0,2.0
425,0.0,0.0,0.0
426,2.0,6.0,4.0
427,2.0,3.0,1.0
428,28.0,41.0,13.0
429,1.0,1.0,0.0
430,25.0,48.0,23.0
431,44.0,130.0,86.0
432,57.0,101.0,44.0
433,7.0,12.0,5.0
434,2.0,3.0,1.0
435,46.0,81.0,35.0
436,8.0,10.0,2.0
437,8.0,15.0,7.0
438,40.0,64.0,24.0
439,4.0,5.0,1.0
440,16.0,23.0,7.0
441,40.0,56.0,16.0
442,115.0,199.0,84.0
443,1.0,2.0,1.0
444,47.0,91.0,44.0
445,54.0,79.0,25.0
446,5.0,6.0,1.0
447,48.0,117.0,69.0
448,30.0,61.0,31.0
449,2.0,2.0,0.0
450,17.0,37.0,20.0
451,17.0,51.0,34.0
452,41.0,58.0,17.0
453,20.0,33.0,13.0
454,143.0,256.0,113.0
455,53.0,148.0,95.0
456,13.0,23.0,10.0
457,1.0,1.0,0.0
458,62.0,97.0,35.0
459,12.0,16.0,4.0
460,13.0,16.0,3.0
461,33.0,43.0,10.0
462,34.0,63.0,29.0
463,81.0,119.0,38.0
464,0.0,1.0,1.0
465,34.0,56.0,22.0
466,16.0,29.0,13.0
467,62.0,94.0,32.0
468,5.0,8.0,3.0
469,8.0,17.0,9.0
470,26.0,53.0,27.0
471,9.0,14.0,5.0
472,61.0,93.0,32.0
473,92.0,148.0,56.0
474,10.0,15.0,5.0
475,14.0,24.0,10.0
476,20.0,29.0,9.0
477,19.0,28.0,9.0
478,57.0,93.0,36.0
479,1.0,1.0,0.0
480,0.0,0.0,0.0
481,46.0,77.0,31.0
482,72.0,189.0,117.0
483,8.0,15.0,7.0
484,1.0,2.0,1.0
485,27.0,39.0,12.0
486,12.0,20.0,8.0
487,26.0,65.0,39.0
488,56.0,79.0,23.0
489,32.0,52.0,20.0
490,45.0,87.0,42.0
491,4.0,4.0,0.0
492,79.0,108.0,29.0
493,4.0,5.0,1.0
494,13.0,22.0,9.0
495,48.0,82.0,34.0
496,7.0,7.0,0.0
497,1.0,2.0,1.0
498,1.0,1.0,0.0
499,7.0,12.0,5.0
500,34.0,46.0,12.0
501,39.0,54.0,15.0
502,2.0,2.0,0.0
503,26.0,38.0,12.0
504,0.0,0.0,0.0
505,4.0,4.0,0.0
506,0.0,0.0,0.0
507,0.0,1.0,1.0
508,1.0,2.0,1.0
509,2.0,2.0,0.0
510,49.0,64.0,15.0
511,20.0,46.0,26.0
512,32.0,49.0,17.0
513,21.0,47.0,26.0
514,1.0,2.0,1.0
515,19.0,23.0,4.0
516,5.0,7.0,2.0
517,4.0,7.0,3.0
518,3.0,9.0,6.0
519,3.0,6.0,3.0
520,0.0,2.0,2.0
521,14.0,25.0,11.0
522,14.0,17.0,3.0
523,4.0,5.0,1.0
524,9.0,18.0,9.0
525,9.0,12.0,3.0
526,0.0,0.0,0.0
527,4.0,6.0,2.0
528,4.0,5.0,1.0
529,4.0,6.0,2.0
530,1.0,1.0,0.0
531,0.0,0.0,0.0
532,3.0,3.0,0.0
533,1.0,5.0,4.0
534,11.0,16.0,5.0
535,3.0,4.0,1.0
536,15.0,17.0,2.0
537,3.0,4.0,1.0
538,21.0,44.0,23.0
539,8.0,19.0,11.0
540,4.0,5.0,1.0
541,6.0,17.0,11.0
542,40.0,115.0,75.0
543,56.0,79.0,23.0
544,80.0,202.0,122.0
545,4.0,5.0,1.0
546,5.0,5.0,0.0
547,13.0,18.0,5.0
548,16.0,25.0,9.0
549,46.0,95.0,49.0
550,6.0,8.0,2.0
551,69.0,154.0,85.0
552,0.0,1.0,1.0
553,1.0,1.0,0.0
554,4.0,6.0,2.0
555,23.0,33.0,10.0
556,9.0,14.0,5.0
557,5.0,10.0,5.0
558,107.0,223.0,116.0
559,1.0,4.0,3.0
560,6.0,17.0,11.0
561,52.0,135.0,83.0
562,7.0,11.0,4.0
563,14.0,19.0,5.0
564,70.0,103.0,33.0
565,12.0,16.0,4.0
566,6.0,11.0,5.0
567,3.0,3.0,0.0
568,29.0,45.0,16.0
569,29.0,60.0,31.0
570,46.0,79.0,33.0
571,13.0,21.0,8.0
572,82.0,135.0,53.0
573,2.0,3.0,1.0
574,14.0,21.0,7.0
575,22.0,33.0,11.0
576,8.0,8.0,0.0
577,73.0,131.0,58.0
578,2.0,2.0,0.0
579,4.0,6.0,2.0
580,3.0,3.0,0.0
581,71.0,121.0,50.0
582,51.0,85.0,34.0
583,53.0,84.0,31.0
584,47.0,72.0,25.0
585,73.0,129.0,56.0
586,37.0,63.0,26.0
587,84.0,163.0,79.0
588,3.0,4.0,1.0
589,31.0,66.0,35.0
590,89.0,155.0,66.0
591,24.0,43.0,19.0
592,13.0,21.0,8.0
593,84.0,142.0,58.0
594,15.0,38.0,23.0
595,6.0,7.0,1.0
596,133.0,183.0,50.0
597,9.0,19.0,10.0
598,10.0,30.0,20.0
599,0.0,0.0,0.0
600,0.0,1.0,1.0
601,45.0,70.0,25.0
602,1.0,3.0,2.0
603,20.0,44.0,24.0
604,5.0,6.0,1.0
605,17.0,28.0,11.0
606,78.0,135.0,57.0
607,1.0,2.0,1.0
608,43.0,69.0,26.0
609,75.0,117.0,42.0
610,1.0,2.0,1.0
611,12.0,15.0,3.0
612,34.0,47.0,13.0
613,48.0,87.0,39.0
614,22.0,32.0,10.0
615,1.0,1.0,0.0
616,43.0,75.0,32.0
617,3.0,3.0,0.0
618,5.0,8.0,3.0
619,1.0,1.0,0.0
620,13.0,20.0,7.0
621,29.0,38.0,9.0
622,2.0,7.0,5.0
623,4.0,8.0,4.0
624,1.0,2.0,1.0
625,3.0,3.0,0.0
626,19.0,32.0,13.0
627,40.0,65.0,25.0
628,33.0,49.0,16.0
629,24.0,41.0,17.0
630,45.0,64.0,19.0
631,3.0,3.0,0.0
632,16.0,26.0,10.0
633,2.0,2.0,0.0
634,2.0,3.0,1.0
635,2.0,4.0,2.0
636,13.0,21.0,8.0
637,3.0,5.0,2.0
638,1.0,1.0,0.0
639,3.0,7.0,4.0
640,0.0,0.0,0.0
641,0.0,0.0,0.0
642,11.0,12.0,1.0
643,3.0,6.0,3.0
644,9.0,12.0,3.0
645,4.0,4.0,0.0
646,0.0,0.0,0.0
647,2.0,2.0,0.0
648,0.0,0.0,0.0
649,35.0,50.0,15.0
650,2.0,2.0,0.0
651,3.0,6.0,3.0
652,2.0,3.0,1.0
653,4.0,8.0,4.0
654,2.0,3.0,1.0
655,30.0,48.0,18.0
656,16.0,33.0,17.0
657,13.0,25.0,12.0
658,1.0,2.0,1.0
659,4.0,4.0,0.0
660,23.0,32.0,9.0
661,20.0,32.0,12.0
662,10.0,14.0,4.0
663,132.0,408.0,276.0
664,3.0,4.0,1.0
665,11.0,15.0,4.0
666,2.0,2.0,0.0
667,6.0,8.0,2.0
668,33.0,55.0,22.0
669,4.0,8.0,4.0
670,87.0,194.0,107.0
671,1.0,1.0,0.0
672,1.0,1.0,0.0
673,1.0,4.0,3.0
674,10.0,26.0,16.0
675,36.0,70.0,34.0
676,158.0,298.0,140.0
677,77.0,148.0,71.0
678,0.0,0.0,0.0
679,2.0,2.0,0.0
680,3.0,5.0,2.0
681,95.0,192.0,97.0
682,2.0,4.0,2.0
683,8.0,12.0,4.0
684,34.0,59.0,25.0
685,92.0,191.0,99.0
686,51.0,80.0,29.0
687,2.0,2.0,0.0
688,3.0,5.0,2.0
689,1.0,3.0,2.0
690,149.0,276.0,127.0
691,19.0,32.0,13.0
692,4.0,6.0,2.0
693,6.0,8.0,2.0
694,28.0,52.0,24.0
695,49.0,95.0,46.0
696,26.0,43.0,17.0
697,2.0,7.0,5.0
698,50.0,121.0,71.0
699,20.0,37.0,17.0
700,27.0,53.0,26.0
701,1.0,3.0,2.0
702,8.0,9.0,1.0
703,37.0,59.0,22.0
704,40.0,95.0,55.0
705,35.0,61.0,26.0
706,26.0,48.0,22.0
707,1.0,5.0,4.0
708,17.0,34.0,17.0
709,19.0,34.0,15.0
710,17.0,22.0,5.0
711,111.0,159.0,48.0
712,1.0,1.0,0.0
713,37.0,67.0,30.0
714,40.0,73.0,33.0
715,1.0,1.0,0.0
716,42.0,53.0,11.0
717,38.0,83.0,45.0
718,15.0,22.0,7.0
719,1.0,4.0,3.0
720,23.0,44.0,21.0
721,88.0,150.0,62.0
722,61.0,107.0,46.0
723,15.0,27.0,12.0
724,44.0,66.0,22.0
725,39.0,62.0,23.0
726,52.0,90.0,38.0
727,6.0,9.0,3.0
728,21.0,24.0,3.0
729,23.0,38.0,15.0
730,0.0,0.0,0.0
731,0.0,2.0,2.0
732,34.0,51.0,17.0
733,3.0,6.0,3.0
734,12.0,20.0,8.0
735,8.0,15.0,7.0
736,51.0,79.0,28.0
737,6.0,6.0,0.0
738,1.0,1.0,0.0
739,2.0,4.0,2.0
740,10.0,17.0,7.0
741,31.0,49.0,18.0
742,14.0,25.0,11.0
743,6.0,7.0,1.0
744,4.0,6.0,2.0
745,1.0,1.0,0.0
746,1.0,3.0,2.0
747,12.0,16.0,4.0
748,5.0,6.0,1.0
749,17.0,30.0,13.0
750,9.0,11.0,2.0
751,1.0,2.0,1.0
752,0.0,0.0,0.0
753,0.0,1.0,1.0
754,15.0,24.0,9.0
755,6.0,16.0,10.0
756,2.0,6.0,4.0
757,8.0,13.0,5.0
758,2.0,3.0,1.0
759,0.0,0.0,0.0
760,1.0,3.0,2.0
761,2.0,2.0,0.0
762,17.0,29.0,12.0
763,23.0,31.0,8.0
764,3.0,7.0,4.0
765,1.0,1.0,0.0
766,1.0,2.0,1.0
767,3.0,3.0,0.0
768,8.0,12.0,4.0
769,7.0,14.0,7.0
770,2.0,3.0,1.0
771,6.0,12.0,6.0
772,1.0,3.0,2.0
773,6.0,11.0,5.0
774,5.0,7.0,2.0
775,0.0,0.0,0.0
776,2.0,2.0,0.0
777,3.0,5.0,2.0
778,1.0,2.0,1.0
779,1.0,1.0,0.0
780,1.0,1.0,0.0
781,2.0,3.0,1.0
782,3.0,4.0,1.0
783,4.0,4.0,0.0
784,1.0,2.0,1.0
785,3.0,3.0,0.0
786,5.0,10.0,5.0
787,1.0,2.0,1.0
788,41.0,66.0,25.0
789,44.0,82.0,38.0
790,4.0,5.0,1.0
791,5.0,9.0,4.0
792,11.0,15.0,4.0
793,1.0,1.0,0.0
794,44.0,60.0,16.0
795,58.0,135.0,77.0
796,105.0,357.0,252.0
797,5.0,12.0,7.0
798,19.0,21.0,2.0
799,17.0,31.0,14.0
800,17.0,38.0,21.0
801,26.0,52.0,26.0
802,11.0,18.0,7.0
803,1.0,2.0,1.0
804,1.0,1.0,0.0
805,73.0,184.0,111.0
806,14.0,24.0,10.0
807,4.0,5.0,1.0
808,67.0,104.0,37.0
809,5.0,9.0,4.0
810,16.0,21.0,5.0
811,111.0,210.0,99.0
812,9.0,16.0,7.0
813,28.0,55.0,27.0
814,205.0,392.0,187.0
815,49.0,108.0,59.0
816,15.0,29.0,14.0
817,43.0,98.0,55.0
818,112.0,210.0,98.0
819,105.0,222.0,117.0
820,125.0,250.0,125.0
821,22.0,46.0,24.0
822,1.0,4.0,3.0
823,78.0,165.0,87.0
824,36.0,47.0,11.0
825,59.0,87.0,28.0
826,67.0,133.0,66.0
827,17.0,19.0,2.0
828,59.0,101.0,42.0
829,4.0,4.0,0.0
830,2.0,7.0,5.0
831,3.0,4.0,1.0
832,30.0,52.0,22.0
833,13.0,22.0,9.0
834,13.0,23.0,10.0
835,86.0,168.0,82.0
836,8.0,10.0,2.0
837,25.0,73.0,48.0
838,24.0,32.0,8.0
839,70.0,131.0,61.0
840,103.0,145.0,42.0
841,9.0,14.0,5.0
842,39.0,57.0,18.0
843,40.0,51.0,11.0
844,27.0,45.0,18.0
845,0.0,0.0,0.0
846,29.0,56.0,27.0
847,19.0,32.0,13.0
848,9.0,23.0,14.0
849,17.0,26.0,9.0
850,2.0,2.0,0.0
851,1.0,1.0,0.0
852,61.0,107.0,46.0
853,2.0,2.0,0.0
854,36.0,73.0,37.0
855,1.0,3.0,2.0
856,9.0,21.0,12.0
857,59.0,85.0,26.0
858,26.0,69.0,43.0
859,32.0,57.0,25.0
860,86.0,135.0,49.0
861,0.0,1.0,1.0
862,43.0,62.0,19.0
863,15.0,25.0,10.0
864,34.0,43.0,9.0
865,50.0,105.0,55.0
866,2.0,3.0,1.0
867,14.0,22.0,8.0
868,2.0,3.0,1.0
869,1.0,1.0,0.0
870,11.0,17.0,6.0
871,2.0,3.0,1.0
872,117.0,177.0,60.0
