ID,clearanceTotal
0,2.0
1,1.0
2,0.0
3,37.0
4,1.0
5,0.0
6,24.0
7,4.0
8,41.0
9,2.0
10,2.0
11,28.0
12,15.0
13,4.0
14,0.0
15,1.0
16,0.0
17,1.0
18,6.0
19,16.0
20,0.0
21,15.0
22,4.0
23,4.0
24,1.0
25,16.0
26,3.0
27,0.0
28,0.0
29,0.0
30,11.0
31,11.0
32,0.0
33,2.0
34,0.0
35,14.0
36,0.0
37,1.0
38,8.0
39,23.0
40,1.0
41,0.0
42,15.0
43,0.0
44,7.0
45,7.0
46,0.0
47,4.0
48,1.0
49,22.0
50,7.0
51,0.0
52,11.0
53,18.0
54,24.0
55,9.0
56,0.0
57,0.0
58,12.0
59,1.0
60,8.0
61,2.0
62,13.0
63,10.0
64,3.0
65,0.0
66,5.0
67,0.0
68,1.0
69,0.0
70,6.0
71,1.0
72,0.0
73,1.0
74,8.0
75,0.0
76,6.0
77,3.0
78,4.0
79,1.0
80,3.0
81,1.0
82,2.0
83,8.0
84,1.0
85,0.0
86,0.0
87,3.0
88,10.0
89,0.0
90,1.0
91,3.0
92,1.0
93,0.0
94,3.0
95,3.0
96,0.0
97,1.0
98,0.0
99,1.0
100,0.0
101,0.0
102,1.0
103,0.0
104,1.0
105,1.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,2.0
114,0.0
115,39.0
116,0.0
117,0.0
118,0.0
119,1.0
120,36.0
121,0.0
122,0.0
123,0.0
124,5.0
125,0.0
126,7.0
127,11.0
128,33.0
129,23.0
130,1.0
131,29.0
132,10.0
133,13.0
134,1.0
135,23.0
136,4.0
137,6.0
138,0.0
139,3.0
140,36.0
141,14.0
142,1.0
143,6.0
144,0.0
145,2.0
146,13.0
147,1.0
148,9.0
149,0.0
150,20.0
151,19.0
152,1.0
153,15.0
154,0.0
155,7.0
156,21.0
157,17.0
158,1.0
159,1.0
160,1.0
161,5.0
162,7.0
163,4.0
164,2.0
165,8.0
166,0.0
167,0.0
168,1.0
169,3.0
170,16.0
171,6.0
172,9.0
173,2.0
174,0.0
175,6.0
176,4.0
177,3.0
178,0.0
179,1.0
180,1.0
181,0.0
182,1.0
183,0.0
184,5.0
185,0.0
186,4.0
187,5.0
188,7.0
189,1.0
190,0.0
191,0.0
192,11.0
193,0.0
194,4.0
195,0.0
196,0.0
197,2.0
198,0.0
199,1.0
200,0.0
201,5.0
202,0.0
203,0.0
204,0.0
205,12.0
206,0.0
207,0.0
208,0.0
209,0.0
210,2.0
211,0.0
212,0.0
213,0.0
214,2.0
215,2.0
216,0.0
217,0.0
218,0.0
219,1.0
220,0.0
221,0.0
222,0.0
223,6.0
224,2.0
225,5.0
226,3.0
227,10.0
228,0.0
229,2.0
230,2.0
231,15.0
232,20.0
233,10.0
234,30.0
235,23.0
236,0.0
237,32.0
238,23.0
239,0.0
240,9.0
241,22.0
242,0.0
243,17.0
244,25.0
245,26.0
246,6.0
247,1.0
248,0.0
249,29.0
250,12.0
251,9.0
252,0.0
253,34.0
254,5.0
255,21.0
256,13.0
257,0.0
258,4.0
259,2.0
260,8.0
261,9.0
262,28.0
263,3.0
264,0.0
265,17.0
266,7.0
267,7.0
268,23.0
269,8.0
270,8.0
271,0.0
272,2.0
273,1.0
274,5.0
275,3.0
276,1.0
277,10.0
278,0.0
279,4.0
280,2.0
281,1.0
282,4.0
283,0.0
284,6.0
285,3.0
286,1.0
287,0.0
288,16.0
289,5.0
290,0.0
291,0.0
292,0.0
293,0.0
294,1.0
295,0.0
296,3.0
297,0.0
298,1.0
299,1.0
300,0.0
301,1.0
302,3.0
303,2.0
304,0.0
305,1.0
306,0.0
307,0.0
308,2.0
309,0.0
310,1.0
311,1.0
312,1.0
313,3.0
314,0.0
315,8.0
316,17.0
317,15.0
318,2.0
319,16.0
320,1.0
321,2.0
322,4.0
323,2.0
324,0.0
325,2.0
326,29.0
327,17.0
328,32.0
329,1.0
330,1.0
331,27.0
332,5.0
333,5.0
334,0.0
335,0.0
336,2.0
337,3.0
338,2.0
339,0.0
340,0.0
341,0.0
342,7.0
343,23.0
344,0.0
345,19.0
346,3.0
347,1.0
348,2.0
349,19.0
350,16.0
351,14.0
352,4.0
353,0.0
354,8.0
355,0.0
356,21.0
357,1.0
358,6.0
359,8.0
360,2.0
361,1.0
362,9.0
363,0.0
364,7.0
365,16.0
366,7.0
367,2.0
368,1.0
369,1.0
370,7.0
371,13.0
372,0.0
373,19.0
374,14.0
375,0.0
376,12.0
377,1.0
378,6.0
379,8.0
380,8.0
381,0.0
382,0.0
383,2.0
384,10.0
385,2.0
386,3.0
387,5.0
388,5.0
389,0.0
390,2.0
391,1.0
392,1.0
393,1.0
394,4.0
395,5.0
396,2.0
397,0.0
398,1.0
399,0.0
400,0.0
401,8.0
402,0.0
403,0.0
404,1.0
405,0.0
406,1.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,2.0
413,1.0
414,2.0
415,0.0
416,0.0
417,1.0
418,0.0
419,0.0
420,0.0
421,1.0
422,0.0
423,0.0
424,0.0
425,0.0
426,1.0
427,0.0
428,3.0
429,2.0
430,15.0
431,27.0
432,33.0
433,1.0
434,1.0
435,6.0
436,1.0
437,1.0
438,10.0
439,1.0
440,7.0
441,4.0
442,19.0
443,1.0
444,18.0
445,8.0
446,0.0
447,10.0
448,19.0
449,3.0
450,6.0
451,8.0
452,4.0
453,11.0
454,15.0
455,27.0
456,3.0
457,1.0
458,10.0
459,1.0
460,0.0
461,3.0
462,8.0
463,20.0
464,0.0
465,8.0
466,4.0
467,28.0
468,5.0
469,2.0
470,12.0
471,0.0
472,7.0
473,47.0
474,5.0
475,3.0
476,4.0
477,5.0
478,7.0
479,0.0
480,0.0
481,9.0
482,22.0
483,5.0
484,0.0
485,3.0
486,0.0
487,17.0
488,17.0
489,2.0
490,18.0
491,0.0
492,15.0
493,0.0
494,5.0
495,5.0
496,1.0
497,3.0
498,0.0
499,3.0
500,4.0
501,9.0
502,0.0
503,5.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,6.0
511,6.0
512,5.0
513,6.0
514,1.0
515,4.0
516,0.0
517,1.0
518,2.0
519,0.0
520,1.0
521,4.0
522,1.0
523,0.0
524,2.0
525,0.0
526,0.0
527,1.0
528,0.0
529,1.0
530,0.0
531,0.0
532,0.0
533,5.0
534,5.0
535,2.0
536,4.0
537,3.0
538,13.0
539,1.0
540,0.0
541,1.0
542,21.0
543,7.0
544,33.0
545,0.0
546,1.0
547,1.0
548,5.0
549,7.0
550,0.0
551,25.0
552,0.0
553,0.0
554,2.0
555,0.0
556,3.0
557,4.0
558,19.0
559,0.0
560,0.0
561,21.0
562,5.0
563,2.0
564,9.0
565,0.0
566,0.0
567,1.0
568,6.0
569,12.0
570,7.0
571,13.0
572,23.0
573,0.0
574,3.0
575,0.0
576,2.0
577,32.0
578,0.0
579,1.0
580,0.0
581,13.0
582,15.0
583,12.0
584,1.0
585,10.0
586,8.0
587,27.0
588,0.0
589,21.0
590,24.0
591,2.0
592,1.0
593,21.0
594,3.0
595,1.0
596,14.0
597,1.0
598,6.0
599,0.0
600,1.0
601,1.0
602,0.0
603,7.0
604,0.0
605,4.0
606,23.0
607,0.0
608,6.0
609,15.0
610,1.0
611,0.0
612,1.0
613,13.0
614,1.0
615,0.0
616,10.0
617,0.0
618,1.0
619,0.0
620,2.0
621,5.0
622,2.0
623,3.0
624,0.0
625,0.0
626,3.0
627,26.0
628,10.0
629,7.0
630,1.0
631,0.0
632,1.0
633,0.0
634,0.0
635,1.0
636,1.0
637,0.0
638,0.0
639,0.0
640,0.0
641,0.0
642,0.0
643,0.0
644,0.0
645,0.0
646,0.0
647,0.0
648,0.0
649,6.0
650,0.0
651,1.0
652,0.0
653,1.0
654,1.0
655,12.0
656,13.0
657,5.0
658,0.0
659,3.0
660,1.0
661,1.0
662,0.0
663,42.0
664,0.0
