ID,dribbleLost,dribbleTotal,dribbleWon
0,6.0,19.0,13.0
1,11.0,18.0,7.0
2,6.0,32.0,26.0
3,45.0,98.0,53.0
4,4.0,19.0,15.0
5,0.0,0.0,0.0
6,1.0,7.0,6.0
7,20.0,38.0,18.0
8,25.0,48.0,23.0
9,5.0,10.0,5.0
10,12.0,26.0,14.0
11,11.0,31.0,20.0
12,14.0,30.0,16.0
13,12.0,20.0,8.0
14,2.0,6.0,4.0
15,21.0,64.0,43.0
16,0.0,1.0,1.0
17,8.0,15.0,7.0
18,3.0,8.0,5.0
19,11.0,22.0,11.0
20,3.0,9.0,6.0
21,12.0,21.0,9.0
22,4.0,7.0,3.0
23,7.0,20.0,13.0
24,3.0,7.0,4.0
25,6.0,12.0,6.0
26,26.0,49.0,23.0
27,1.0,3.0,2.0
28,0.0,4.0,4.0
29,4.0,7.0,3.0
30,5.0,15.0,10.0
31,8.0,10.0,2.0
32,3.0,9.0,6.0
33,7.0,33.0,26.0
34,1.0,1.0,0.0
35,40.0,90.0,50.0
36,1.0,7.0,6.0
37,5.0,15.0,10.0
38,24.0,50.0,26.0
39,29.0,63.0,34.0
40,2.0,4.0,2.0
41,2.0,3.0,1.0
42,14.0,32.0,18.0
43,10.0,18.0,8.0
44,13.0,27.0,14.0
45,31.0,58.0,27.0
46,3.0,7.0,4.0
47,5.0,7.0,2.0
48,13.0,21.0,8.0
49,25.0,47.0,22.0
50,8.0,10.0,2.0
51,0.0,3.0,3.0
52,16.0,31.0,15.0
53,19.0,27.0,8.0
54,48.0,81.0,33.0
55,3.0,10.0,7.0
56,1.0,2.0,1.0
57,0.0,0.0,0.0
58,10.0,22.0,12.0
59,1.0,1.0,0.0
60,26.0,55.0,29.0
61,14.0,28.0,14.0
62,25.0,48.0,23.0
63,11.0,21.0,10.0
64,4.0,8.0,4.0
65,0.0,1.0,1.0
66,5.0,10.0,5.0
67,6.0,9.0,3.0
68,1.0,1.0,0.0
69,1.0,1.0,0.0
70,14.0,19.0,5.0
71,19.0,39.0,20.0
72,1.0,2.0,1.0
73,1.0,1.0,0.0
74,4.0,8.0,4.0
75,2.0,3.0,1.0
76,11.0,13.0,2.0
77,3.0,5.0,2.0
78,22.0,38.0,16.0
79,0.0,4.0,4.0
80,2.0,3.0,1.0
81,1.0,4.0,3.0
82,33.0,60.0,27.0
83,2.0,5.0,3.0
84,7.0,10.0,3.0
85,0.0,2.0,2.0
86,1.0,4.0,3.0
87,2.0,6.0,4.0
88,5.0,8.0,3.0
89,0.0,1.0,1.0
90,3.0,11.0,8.0
91,13.0,25.0,12.0
92,0.0,0.0,0.0
93,4.0,10.0,6.0
94,5.0,9.0,4.0
95,4.0,7.0,3.0
96,1.0,3.0,2.0
97,0.0,0.0,0.0
98,2.0,3.0,1.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,1.0,1.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,6.0,11.0,5.0
105,3.0,3.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,1.0,1.0,0.0
109,0.0,0.0,0.0
110,1.0,1.0,0.0
111,1.0,3.0,2.0
112,1.0,2.0,1.0
113,3.0,7.0,4.0
114,1.0,1.0,0.0
115,48.0,100.0,52.0
116,0.0,3.0,3.0
117,6.0,15.0,9.0
118,25.0,87.0,62.0
119,0.0,0.0,0.0
120,10.0,24.0,14.0
121,4.0,6.0,2.0
122,5.0,8.0,3.0
123,3.0,13.0,10.0
124,16.0,50.0,34.0
125,14.0,24.0,10.0
126,43.0,86.0,43.0
127,23.0,79.0,56.0
128,26.0,48.0,22.0
129,30.0,70.0,40.0
130,11.0,39.0,28.0
131,15.0,41.0,26.0
132,12.0,28.0,16.0
133,7.0,12.0,5.0
134,6.0,10.0,4.0
135,8.0,11.0,3.0
136,7.0,15.0,8.0
137,16.0,42.0,26.0
138,7.0,15.0,8.0
139,19.0,29.0,10.0
140,20.0,39.0,19.0
141,18.0,33.0,15.0
142,39.0,82.0,43.0
143,4.0,11.0,7.0
144,5.0,8.0,3.0
145,5.0,9.0,4.0
146,15.0,39.0,24.0
147,7.0,12.0,5.0
148,14.0,31.0,17.0
149,7.0,19.0,12.0
150,25.0,51.0,26.0
151,15.0,32.0,17.0
152,4.0,5.0,1.0
153,19.0,42.0,23.0
154,10.0,18.0,8.0
155,5.0,9.0,4.0
156,14.0,21.0,7.0
157,26.0,58.0,32.0
158,0.0,0.0,0.0
159,11.0,25.0,14.0
160,2.0,4.0,2.0
161,4.0,7.0,3.0
162,9.0,18.0,9.0
163,5.0,9.0,4.0
164,8.0,34.0,26.0
165,0.0,0.0,0.0
166,3.0,5.0,2.0
167,0.0,1.0,1.0
168,3.0,4.0,1.0
169,1.0,5.0,4.0
170,6.0,16.0,10.0
171,10.0,18.0,8.0
172,1.0,2.0,1.0
173,1.0,1.0,0.0
174,2.0,4.0,2.0
175,20.0,47.0,27.0
176,0.0,0.0,0.0
177,9.0,14.0,5.0
178,4.0,7.0,3.0
179,2.0,3.0,1.0
180,0.0,1.0,1.0
181,4.0,12.0,8.0
182,10.0,19.0,9.0
183,1.0,3.0,2.0
184,6.0,19.0,13.0
185,0.0,3.0,3.0
186,4.0,15.0,11.0
187,14.0,27.0,13.0
188,2.0,3.0,1.0
189,5.0,13.0,8.0
190,8.0,14.0,6.0
191,0.0,3.0,3.0
192,2.0,9.0,7.0
193,3.0,7.0,4.0
194,12.0,36.0,24.0
195,2.0,4.0,2.0
196,0.0,0.0,0.0
197,3.0,4.0,1.0
198,0.0,3.0,3.0
199,4.0,6.0,2.0
200,1.0,1.0,0.0
201,5.0,12.0,7.0
202,11.0,12.0,1.0
203,0.0,2.0,2.0
204,0.0,1.0,1.0
205,3.0,11.0,8.0
206,1.0,5.0,4.0
207,1.0,1.0,0.0
208,1.0,1.0,0.0
209,4.0,5.0,1.0
210,9.0,16.0,7.0
211,3.0,3.0,0.0
212,2.0,3.0,1.0
213,0.0,0.0,0.0
214,6.0,9.0,3.0
215,4.0,5.0,1.0
216,0.0,0.0,0.0
217,3.0,5.0,2.0
218,3.0,4.0,1.0
219,0.0,0.0,0.0
220,3.0,3.0,0.0
221,0.0,2.0,2.0
222,2.0,3.0,1.0
223,4.0,10.0,6.0
224,3.0,6.0,3.0
225,11.0,36.0,25.0
226,30.0,79.0,49.0
227,2.0,5.0,3.0
228,6.0,10.0,4.0
229,16.0,36.0,20.0
230,2.0,4.0,2.0
231,47.0,97.0,50.0
232,16.0,39.0,23.0
233,1.0,4.0,3.0
234,27.0,55.0,28.0
235,49.0,91.0,42.0
236,2.0,18.0,16.0
237,37.0,99.0,62.0
238,4.0,19.0,15.0
239,5.0,16.0,11.0
240,27.0,70.0,43.0
241,24.0,47.0,23.0
242,4.0,12.0,8.0
243,25.0,58.0,33.0
244,18.0,33.0,15.0
245,10.0,20.0,10.0
246,13.0,24.0,11.0
247,10.0,20.0,10.0
248,0.0,6.0,6.0
249,21.0,38.0,17.0
250,21.0,43.0,22.0
251,6.0,11.0,5.0
252,2.0,5.0,3.0
253,11.0,24.0,13.0
254,7.0,16.0,9.0
255,14.0,40.0,26.0
256,27.0,64.0,37.0
257,0.0,0.0,0.0
258,6.0,12.0,6.0
259,26.0,53.0,27.0
260,1.0,2.0,1.0
261,15.0,29.0,14.0
262,31.0,61.0,30.0
263,9.0,14.0,5.0
264,8.0,18.0,10.0
265,8.0,13.0,5.0
266,4.0,17.0,13.0
267,2.0,2.0,0.0
268,12.0,24.0,12.0
269,7.0,13.0,6.0
270,35.0,55.0,20.0
271,1.0,5.0,4.0
272,15.0,31.0,16.0
273,4.0,7.0,3.0
274,8.0,17.0,9.0
275,8.0,20.0,12.0
276,5.0,9.0,4.0
277,26.0,45.0,19.0
278,8.0,20.0,12.0
279,22.0,41.0,19.0
280,13.0,16.0,3.0
281,1.0,6.0,5.0
282,5.0,9.0,4.0
283,3.0,8.0,5.0
284,18.0,42.0,24.0
285,12.0,17.0,5.0
286,6.0,16.0,10.0
287,7.0,14.0,7.0
288,21.0,44.0,23.0
289,5.0,14.0,9.0
290,2.0,3.0,1.0
291,6.0,11.0,5.0
292,1.0,2.0,1.0
293,2.0,2.0,0.0
294,0.0,6.0,6.0
295,0.0,1.0,1.0
296,7.0,11.0,4.0
297,14.0,22.0,8.0
298,3.0,7.0,4.0
299,0.0,1.0,1.0
300,1.0,3.0,2.0
301,1.0,1.0,0.0
302,4.0,8.0,4.0
303,0.0,0.0,0.0
304,2.0,4.0,2.0
305,1.0,1.0,0.0
306,0.0,0.0,0.0
307,3.0,4.0,1.0
308,1.0,1.0,0.0
309,1.0,2.0,1.0
310,1.0,3.0,2.0
311,1.0,2.0,1.0
312,0.0,0.0,0.0
313,26.0,68.0,42.0
314,2.0,2.0,0.0
315,4.0,8.0,4.0
316,23.0,52.0,29.0
317,17.0,37.0,20.0
318,7.0,17.0,10.0
319,21.0,40.0,19.0
320,16.0,46.0,30.0
321,3.0,12.0,9.0
322,27.0,46.0,19.0
323,7.0,11.0,4.0
324,1.0,3.0,2.0
325,2.0,6.0,4.0
326,8.0,14.0,6.0
327,4.0,7.0,3.0
328,20.0,33.0,13.0
329,17.0,28.0,11.0
330,4.0,5.0,1.0
331,38.0,76.0,38.0
332,31.0,56.0,25.0
333,4.0,7.0,3.0
334,3.0,9.0,6.0
335,10.0,18.0,8.0
336,10.0,17.0,7.0
337,50.0,91.0,41.0
338,2.0,3.0,1.0
339,5.0,15.0,10.0
340,3.0,14.0,11.0
341,3.0,10.0,7.0
342,14.0,23.0,9.0
343,32.0,67.0,35.0
344,3.0,3.0,0.0
345,9.0,26.0,17.0
346,8.0,18.0,10.0
347,1.0,2.0,1.0
348,3.0,7.0,4.0
349,37.0,59.0,22.0
350,22.0,59.0,37.0
351,15.0,31.0,16.0
352,10.0,17.0,7.0
353,1.0,8.0,7.0
354,7.0,18.0,11.0
355,5.0,5.0,0.0
356,22.0,38.0,16.0
357,17.0,27.0,10.0
358,5.0,6.0,1.0
359,4.0,13.0,9.0
360,0.0,0.0,0.0
361,2.0,9.0,7.0
362,14.0,25.0,11.0
363,3.0,3.0,0.0
364,4.0,11.0,7.0
365,36.0,69.0,33.0
366,2.0,3.0,1.0
367,0.0,1.0,1.0
368,31.0,58.0,27.0
369,9.0,17.0,8.0
370,2.0,5.0,3.0
371,9.0,19.0,10.0
372,1.0,5.0,4.0
373,20.0,31.0,11.0
374,12.0,23.0,11.0
375,1.0,1.0,0.0
376,24.0,43.0,19.0
377,2.0,2.0,0.0
378,13.0,24.0,11.0
379,8.0,20.0,12.0
380,11.0,23.0,12.0
381,6.0,9.0,3.0
382,3.0,4.0,1.0
383,5.0,10.0,5.0
384,9.0,16.0,7.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,7.0,13.0,6.0
388,7.0,13.0,6.0
389,8.0,11.0,3.0
390,9.0,17.0,8.0
391,7.0,14.0,7.0
392,0.0,2.0,2.0
393,2.0,2.0,0.0
394,8.0,17.0,9.0
395,11.0,26.0,15.0
