ID,foulGiven,foulCommitted
0,17.0,10.0
1,8.0,6.0
2,12.0,6.0
3,52.0,40.0
4,10.0,4.0
5,1.0,0.0
6,11.0,11.0
7,26.0,26.0
8,78.0,50.0
9,1.0,4.0
10,4.0,4.0
11,17.0,15.0
12,21.0,25.0
13,13.0,5.0
14,1.0,1.0
15,18.0,4.0
16,1.0,0.0
17,5.0,2.0
18,5.0,11.0
19,8.0,7.0
20,5.0,4.0
21,12.0,11.0
22,5.0,3.0
23,17.0,18.0
24,5.0,4.0
25,9.0,12.0
26,18.0,13.0
27,0.0,1.0
28,2.0,2.0
29,1.0,1.0
30,6.0,12.0
31,16.0,17.0
32,12.0,2.0
33,13.0,6.0
34,1.0,0.0
35,50.0,49.0
36,4.0,1.0
37,5.0,5.0
38,12.0,4.0
39,38.0,32.0
40,1.0,1.0
41,1.0,1.0
42,40.0,28.0
43,6.0,2.0
44,9.0,12.0
45,20.0,23.0
46,3.0,0.0
47,8.0,14.0
48,7.0,5.0
49,14.0,35.0
50,10.0,17.0
51,2.0,3.0
52,3.0,12.0
53,11.0,12.0
54,44.0,40.0
55,13.0,20.0
56,1.0,2.0
57,2.0,7.0
58,17.0,27.0
59,2.0,0.0
60,24.0,15.0
61,22.0,8.0
62,43.0,25.0
63,21.0,27.0
64,7.0,14.0
65,1.0,0.0
66,7.0,4.0
67,3.0,2.0
68,0.0,1.0
69,1.0,0.0
70,8.0,13.0
71,28.0,28.0
72,1.0,1.0
73,3.0,4.0
74,7.0,4.0
75,1.0,3.0
76,11.0,11.0
77,3.0,3.0
78,4.0,12.0
79,4.0,5.0
80,7.0,3.0
81,4.0,2.0
82,25.0,31.0
83,4.0,4.0
84,5.0,1.0
85,0.0,2.0
86,4.0,1.0
87,8.0,13.0
88,3.0,9.0
89,3.0,0.0
90,11.0,8.0
91,14.0,13.0
92,1.0,0.0
93,7.0,5.0
94,6.0,5.0
95,7.0,2.0
96,2.0,0.0
97,0.0,0.0
98,3.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,1.0
102,1.0,0.0
103,1.0,0.0
104,2.0,8.0
105,2.0,1.0
106,2.0,3.0
107,0.0,0.0
108,2.0,0.0
109,1.0,0.0
110,1.0,0.0
111,4.0,1.0
112,1.0,3.0
113,3.0,2.0
114,1.0,1.0
115,60.0,26.0
116,1.0,2.0
117,5.0,3.0
118,24.0,4.0
119,0.0,1.0
120,17.0,31.0
121,3.0,0.0
122,5.0,1.0
123,9.0,4.0
124,36.0,22.0
125,8.0,5.0
126,38.0,28.0
127,14.0,21.0
128,40.0,37.0
129,49.0,47.0
130,13.0,25.0
131,22.0,25.0
132,41.0,28.0
133,7.0,19.0
134,3.0,5.0
135,23.0,18.0
136,4.0,8.0
137,16.0,7.0
138,16.0,2.0
139,16.0,15.0
140,23.0,35.0
141,16.0,15.0
142,67.0,25.0
143,14.0,16.0
144,11.0,2.0
145,5.0,2.0
146,39.0,36.0
147,8.0,1.0
148,16.0,13.0
149,6.0,3.0
150,17.0,19.0
151,29.0,14.0
152,2.0,5.0
153,54.0,29.0
154,8.0,5.0
155,18.0,20.0
156,22.0,37.0
157,28.0,32.0
158,6.0,1.0
159,4.0,11.0
160,2.0,2.0
161,6.0,5.0
162,13.0,9.0
163,11.0,14.0
164,20.0,8.0
165,3.0,12.0
