ID,interceptionAll
0,0.0
1,4.0
2,3.0
3,3.0
4,3.0
5,1.0
6,2.0
7,3.0
8,14.0
9,2.0
10,3.0
11,2.0
12,3.0
13,3.0
14,0.0
15,2.0
16,0.0
17,0.0
18,4.0
19,0.0
20,0.0
21,1.0
22,0.0
23,2.0
24,3.0
25,2.0
26,4.0
27,0.0
28,0.0
29,1.0
30,3.0
31,3.0
32,2.0
33,5.0
34,0.0
35,3.0
36,0.0
37,0.0
38,6.0
39,10.0
40,2.0
41,0.0
42,8.0
43,3.0
44,2.0
45,3.0
46,1.0
47,0.0
48,1.0
49,2.0
50,1.0
51,0.0
52,0.0
53,6.0
54,13.0
55,3.0
56,0.0
57,0.0
58,6.0
59,1.0
60,9.0
61,0.0
62,5.0
63,3.0
64,0.0
65,1.0
66,2.0
67,2.0
68,1.0
69,0.0
70,4.0
71,1.0
72,1.0
73,0.0
74,2.0
75,1.0
76,1.0
77,0.0
78,1.0
79,0.0
80,0.0
81,0.0
82,4.0
83,1.0
84,0.0
85,0.0
86,1.0
87,1.0
88,0.0
89,1.0
90,0.0
91,2.0
92,0.0
93,1.0
94,0.0
95,3.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,1.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,3.0
112,1.0
113,0.0
114,1.0
115,11.0
116,1.0
117,6.0
118,3.0
119,0.0
120,4.0
121,0.0
122,2.0
123,5.0
124,11.0
125,2.0
126,7.0
127,11.0
128,6.0
129,7.0
130,2.0
131,4.0
132,8.0
133,4.0
134,4.0
135,6.0
136,1.0
137,1.0
138,4.0
139,3.0
140,10.0
141,5.0
142,6.0
143,5.0
144,2.0
145,0.0
146,7.0
147,1.0
148,7.0
149,4.0
150,3.0
151,2.0
152,1.0
153,4.0
154,7.0
155,2.0
156,1.0
157,0.0
158,0.0
159,5.0
160,1.0
161,1.0
162,7.0
163,2.0
164,0.0
165,3.0
166,1.0
167,0.0
168,2.0
169,0.0
170,1.0
171,2.0
172,4.0
173,1.0
174,1.0
175,7.0
176,2.0
177,2.0
178,0.0
179,0.0
180,1.0
181,2.0
182,3.0
183,0.0
184,4.0
185,0.0
186,2.0
187,8.0
188,0.0
189,4.0
190,0.0
191,1.0
192,0.0
193,2.0
194,5.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,1.0
201,3.0
202,1.0
203,1.0
204,0.0
205,4.0
206,0.0
207,1.0
208,2.0
209,0.0
210,1.0
211,0.0
212,0.0
213,0.0
214,0.0
215,2.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,1.0
223,3.0
224,0.0
225,9.0
226,4.0
227,1.0
228,2.0
229,3.0
230,1.0
231,5.0
232,8.0
233,2.0
234,6.0
235,9.0
236,1.0
237,16.0
238,4.0
239,1.0
240,7.0
241,2.0
242,0.0
243,5.0
244,5.0
245,11.0
246,1.0
247,2.0
248,0.0
249,10.0
250,7.0
251,0.0
252,1.0
253,6.0
254,2.0
255,3.0
256,8.0
257,1.0
258,2.0
259,3.0
260,2.0
261,2.0
262,9.0
263,3.0
264,5.0
265,4.0
266,2.0
267,1.0
268,4.0
269,5.0
270,4.0
271,1.0
272,4.0
273,1.0
274,1.0
275,3.0
276,0.0
277,5.0
278,1.0
279,3.0
280,3.0
281,3.0
282,1.0
283,1.0
284,6.0
285,0.0
286,0.0
287,1.0
288,4.0
289,1.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,6.0
297,1.0
298,1.0
299,0.0
300,0.0
301,0.0
302,1.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,1.0
311,0.0
312,0.0
313,2.0
314,3.0
315,1.0
316,3.0
317,1.0
318,0.0
319,3.0
320,7.0
321,3.0
322,14.0
323,0.0
324,0.0
325,2.0
326,2.0
327,3.0
328,3.0
329,2.0
330,4.0
331,5.0
332,2.0
333,1.0
334,3.0
335,1.0
336,1.0
337,6.0
338,1.0
339,0.0
340,2.0
341,2.0
342,0.0
343,4.0
344,0.0
345,3.0
346,2.0
347,1.0
348,0.0
349,6.0
350,7.0
351,3.0
352,3.0
353,0.0
354,2.0
355,0.0
356,7.0
357,2.0
358,1.0
359,0.0
360,0.0
