ID,turnover,dispossessed
0,27.0,14.0
1,10.0,5.0
2,24.0,9.0
3,96.0,60.0
4,22.0,15.0
5,4.0,1.0
6,26.0,10.0
7,44.0,22.0
8,108.0,44.0
9,3.0,4.0
10,25.0,16.0
11,49.0,30.0
12,52.0,22.0
13,13.0,6.0
14,4.0,2.0
15,36.0,32.0
16,3.0,1.0
17,7.0,6.0
18,18.0,9.0
19,32.0,19.0
20,3.0,7.0
21,25.0,7.0
22,9.0,4.0
23,31.0,21.0
24,3.0,2.0
25,30.0,13.0
26,37.0,26.0
27,0.0,4.0
28,10.0,1.0
29,6.0,4.0
30,26.0,21.0
31,49.0,12.0
32,6.0,7.0
33,35.0,27.0
34,2.0,0.0
35,134.0,68.0
36,2.0,0.0
37,13.0,5.0
38,30.0,28.0
39,84.0,42.0
40,1.0,3.0
41,5.0,2.0
42,57.0,32.0
43,15.0,12.0
44,35.0,15.0
45,58.0,42.0
46,14.0,4.0
47,16.0,4.0
48,17.0,8.0
49,60.0,29.0
50,43.0,8.0
51,2.0,3.0
52,23.0,12.0
53,48.0,17.0
54,89.0,51.0
55,19.0,5.0
56,4.0,2.0
57,7.0,5.0
58,39.0,29.0
59,3.0,0.0
60,63.0,44.0
61,26.0,21.0
62,59.0,29.0
63,54.0,26.0
64,40.0,12.0
65,4.0,0.0
66,18.0,11.0
67,7.0,1.0
68,2.0,0.0
69,0.0,3.0
70,28.0,17.0
71,42.0,46.0
72,2.0,0.0
73,2.0,3.0
74,23.0,8.0
75,1.0,0.0
76,28.0,16.0
77,2.0,2.0
78,39.0,12.0
79,9.0,3.0
80,4.0,4.0
81,7.0,2.0
82,71.0,42.0
83,17.0,3.0
84,6.0,3.0
85,1.0,4.0
86,4.0,4.0
87,27.0,13.0
88,20.0,5.0
89,2.0,5.0
90,14.0,10.0
91,24.0,9.0
92,2.0,0.0
93,6.0,6.0
94,13.0,7.0
95,17.0,11.0
96,2.0,1.0
97,1.0,1.0
98,1.0,0.0
99,1.0,0.0
100,0.0,0.0
101,4.0,0.0
102,1.0,0.0
103,1.0,2.0
104,13.0,10.0
105,3.0,1.0
106,0.0,0.0
107,1.0,1.0
108,2.0,0.0
109,3.0,0.0
110,4.0,0.0
111,3.0,1.0
112,2.0,1.0
113,5.0,4.0
114,1.0,1.0
115,63.0,54.0
116,2.0,1.0
117,8.0,3.0
118,31.0,31.0
119,0.0,0.0
120,55.0,25.0
121,4.0,2.0
122,2.0,5.0
123,8.0,10.0
124,45.0,30.0
125,19.0,13.0
126,77.0,49.0
127,77.0,46.0
128,101.0,28.0
129,116.0,85.0
130,51.0,28.0
131,56.0,12.0
132,36.0,28.0
133,27.0,5.0
134,3.0,2.0
135,19.0,16.0
136,19.0,3.0
137,33.0,28.0
138,9.0,4.0
139,29.0,16.0
140,80.0,21.0
141,50.0,22.0
142,78.0,59.0
143,35.0,22.0
144,6.0,8.0
145,6.0,15.0
146,67.0,38.0
147,5.0,5.0
148,47.0,10.0
149,12.0,4.0
150,60.0,12.0
151,24.0,24.0
152,3.0,8.0
153,86.0,40.0
154,15.0,11.0
155,49.0,10.0
156,77.0,44.0
157,68.0,23.0
158,6.0,0.0
159,20.0,17.0
160,8.0,2.0
161,19.0,8.0
162,27.0,15.0
163,19.0,7.0
164,26.0,10.0
165,17.0,6.0
166,5.0,3.0
167,2.0,1.0
168,5.0,2.0
169,9.0,3.0
170,25.0,19.0
171,33.0,14.0
172,32.0,19.0
173,3.0,5.0
174,7.0,5.0
175,56.0,26.0
176,11.0,5.0
