ID,tackleWonTotal,tackleTotalAttempted,challengeLost
0,8.0,13.0,5.0
1,11.0,15.0,4.0
2,4.0,7.0,3.0
3,15.0,26.0,11.0
4,3.0,8.0,5.0
5,1.0,2.0,1.0
6,2.0,6.0,4.0
7,23.0,49.0,26.0
8,32.0,58.0,26.0
9,5.0,10.0,5.0
10,18.0,28.0,10.0
11,8.0,12.0,4.0
12,10.0,17.0,7.0
13,4.0,7.0,3.0
14,2.0,5.0,3.0
15,5.0,9.0,4.0
16,0.0,0.0,0.0
17,2.0,2.0,0.0
18,13.0,19.0,6.0
19,1.0,4.0,3.0
20,0.0,0.0,0.0
21,6.0,12.0,6.0
22,11.0,14.0,3.0
23,22.0,29.0,7.0
24,1.0,2.0,1.0
25,9.0,11.0,2.0
26,12.0,24.0,12.0
27,3.0,3.0,0.0
28,4.0,6.0,2.0
29,2.0,3.0,1.0
30,7.0,16.0,9.0
31,11.0,15.0,4.0
32,4.0,4.0,0.0
33,9.0,17.0,8.0
34,0.0,3.0,3.0
35,23.0,34.0,11.0
36,0.0,0.0,0.0
37,3.0,8.0,5.0
38,15.0,24.0,9.0
39,17.0,27.0,10.0
40,3.0,3.0,0.0
41,2.0,2.0,0.0
42,13.0,27.0,14.0
43,6.0,10.0,4.0
44,8.0,17.0,9.0
45,8.0,14.0,6.0
46,0.0,2.0,2.0
47,10.0,17.0,7.0
48,6.0,18.0,12.0
49,9.0,20.0,11.0
50,2.0,3.0,1.0
51,0.0,1.0,1.0
52,8.0,13.0,5.0
53,21.0,41.0,20.0
54,26.0,49.0,23.0
55,15.0,22.0,7.0
56,7.0,11.0,4.0
57,3.0,3.0,0.0
58,15.0,28.0,13.0
59,1.0,3.0,2.0
60,17.0,31.0,14.0
61,6.0,11.0,5.0
62,23.0,34.0,11.0
63,9.0,12.0,3.0
64,7.0,14.0,7.0
65,1.0,2.0,1.0
66,4.0,5.0,1.0
67,2.0,5.0,3.0
68,3.0,3.0,0.0
69,2.0,3.0,1.0
70,7.0,10.0,3.0
71,17.0,30.0,13.0
72,0.0,0.0,0.0
73,5.0,7.0,2.0
74,7.0,13.0,6.0
75,1.0,4.0,3.0
76,11.0,27.0,16.0
77,1.0,6.0,5.0
78,9.0,15.0,6.0
79,4.0,10.0,6.0
80,4.0,8.0,4.0
81,0.0,1.0,1.0
82,23.0,46.0,23.0
83,1.0,4.0,3.0
84,1.0,2.0,1.0
85,2.0,2.0,0.0
86,0.0,1.0,1.0
87,5.0,10.0,5.0
88,5.0,13.0,8.0
89,0.0,1.0,1.0
90,0.0,2.0,2.0
91,10.0,13.0,3.0
92,0.0,1.0,1.0
93,1.0,5.0,4.0
94,2.0,3.0,1.0
95,6.0,12.0,6.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,1.0,1.0
99,1.0,1.0,0.0
100,1.0,1.0,0.0
101,1.0,1.0,0.0
102,2.0,3.0,1.0
103,0.0,0.0,0.0
104,2.0,6.0,4.0
105,1.0,1.0,0.0
106,0.0,2.0,2.0
107,0.0,2.0,2.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,2.0,3.0,1.0
112,0.0,1.0,1.0
113,1.0,3.0,2.0
114,5.0,8.0,3.0
115,22.0,40.0,18.0
116,1.0,3.0,2.0
117,4.0,13.0,9.0
118,11.0,14.0,3.0
119,1.0,2.0,1.0
120,15.0,22.0,7.0
121,2.0,2.0,0.0
122,1.0,1.0,0.0
123,10.0,17.0,7.0
124,13.0,24.0,11.0
125,3.0,7.0,4.0
126,5.0,11.0,6.0
127,32.0,58.0,26.0
128,17.0,23.0,6.0
129,29.0,52.0,23.0
130,11.0,23.0,12.0
131,18.0,31.0,13.0
132,15.0,32.0,17.0
133,4.0,8.0,4.0
134,3.0,10.0,7.0
135,13.0,22.0,9.0
136,2.0,5.0,3.0
137,0.0,6.0,6.0
138,4.0,5.0,1.0
139,6.0,18.0,12.0
140,20.0,39.0,19.0
141,16.0,32.0,16.0
142,15.0,27.0,12.0
143,13.0,24.0,11.0
144,4.0,13.0,9.0
145,1.0,1.0,0.0
146,10.0,20.0,10.0
147,0.0,1.0,1.0
148,11.0,21.0,10.0
149,6.0,7.0,1.0
150,22.0,38.0,16.0
151,14.0,28.0,14.0
152,3.0,3.0,0.0
153,24.0,35.0,11.0
154,11.0,18.0,7.0
155,7.0,11.0,4.0
156,12.0,25.0,13.0
157,21.0,37.0,16.0
158,2.0,3.0,1.0
159,5.0,7.0,2.0
160,0.0,0.0,0.0
161,1.0,4.0,3.0
162,3.0,10.0,7.0
163,8.0,13.0,5.0
164,6.0,9.0,3.0
165,4.0,8.0,4.0
166,1.0,2.0,1.0
167,0.0,1.0,1.0
168,2.0,2.0,0.0
169,3.0,4.0,1.0
170,4.0,7.0,3.0
171,20.0,30.0,10.0
172,7.0,16.0,9.0
173,2.0,3.0,1.0
174,6.0,10.0,4.0
175,9.0,20.0,11.0
176,2.0,2.0,0.0
177,4.0,9.0,5.0
178,2.0,4.0,2.0
179,0.0,1.0,1.0
180,0.0,0.0,0.0
181,2.0,5.0,3.0
182,4.0,14.0,10.0
183,1.0,1.0,0.0
184,8.0,14.0,6.0
185,0.0,0.0,0.0
186,3.0,8.0,5.0
187,13.0,24.0,11.0
188,1.0,4.0,3.0
189,6.0,11.0,5.0
190,1.0,3.0,2.0
191,1.0,2.0,1.0
192,2.0,4.0,2.0
193,4.0,11.0,7.0
194,15.0,26.0,11.0
195,0.0,0.0,0.0
196,2.0,4.0,2.0
197,0.0,0.0,0.0
198,1.0,2.0,1.0
199,4.0,6.0,2.0
200,0.0,0.0,0.0
201,2.0,11.0,9.0
202,3.0,6.0,3.0
203,1.0,4.0,3.0
204,0.0,1.0,1.0
205,2.0,4.0,2.0
206,3.0,5.0,2.0
207,0.0,1.0,1.0
208,0.0,2.0,2.0
209,1.0,3.0,2.0
210,9.0,21.0,12.0
211,0.0,0.0,0.0
212,0.0,1.0,1.0
213,0.0,0.0,0.0
214,4.0,9.0,5.0
215,1.0,6.0,5.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,1.0,4.0,3.0
220,0.0,1.0,1.0
221,1.0,1.0,0.0
222,0.0,0.0,0.0
223,1.0,9.0,8.0
224,0.0,0.0,0.0
225,9.0,24.0,15.0
226,12.0,21.0,9.0
227,1.0,4.0,3.0
228,3.0,3.0,0.0
229,7.0,14.0,7.0
230,0.0,0.0,0.0
231,15.0,30.0,15.0
232,18.0,43.0,25.0
233,8.0,17.0,9.0
234,18.0,31.0,13.0
235,38.0,87.0,49.0
236,2.0,3.0,1.0
237,19.0,47.0,28.0
238,8.0,14.0,6.0
239,3.0,4.0,1.0
240,31.0,56.0,25.0
241,15.0,17.0,2.0
242,1.0,3.0,2.0
243,29.0,46.0,17.0
244,5.0,14.0,9.0
245,19.0,41.0,22.0
246,5.0,12.0,7.0
247,2.0,2.0,0.0
248,1.0,2.0,1.0
249,29.0,54.0,25.0
250,29.0,44.0,15.0
251,14.0,23.0,9.0
252,3.0,7.0,4.0
253,6.0,15.0,9.0
254,1.0,3.0,2.0
255,35.0,46.0,11.0
256,31.0,48.0,17.0
257,0.0,1.0,1.0
258,4.0,6.0,2.0
259,7.0,16.0,9.0
260,10.0,13.0,3.0
261,21.0,40.0,19.0
262,26.0,44.0,18.0
263,7.0,22.0,15.0
264,7.0,14.0,7.0
265,7.0,17.0,10.0
266,5.0,8.0,3.0
267,3.0,8.0,5.0
268,15.0,20.0,5.0
269,9.0,14.0,5.0
270,16.0,34.0,18.0
271,1.0,1.0,0.0
272,5.0,14.0,9.0
273,6.0,6.0,0.0
274,2.0,8.0,6.0
275,9.0,21.0,12.0
276,2.0,3.0,1.0
277,6.0,26.0,20.0
278,6.0,8.0,2.0
279,2.0,6.0,4.0
280,5.0,7.0,2.0
281,2.0,4.0,2.0
282,3.0,4.0,1.0
283,0.0,2.0,2.0
284,12.0,34.0,22.0
285,6.0,9.0,3.0
286,2.0,4.0,2.0
287,2.0,5.0,3.0
288,12.0,26.0,14.0
289,5.0,12.0,7.0
290,2.0,2.0,0.0
291,2.0,5.0,3.0
292,4.0,5.0,1.0
293,1.0,1.0,0.0
294,0.0,1.0,1.0
295,0.0,2.0,2.0
296,4.0,7.0,3.0
297,1.0,2.0,1.0
298,1.0,2.0,1.0
299,0.0,1.0,1.0
300,0.0,1.0,1.0
301,1.0,1.0,0.0
302,1.0,4.0,3.0
303,0.0,2.0,2.0
304,1.0,3.0,2.0
305,1.0,1.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,2.0,2.0
309,0.0,0.0,0.0
310,10.0,10.0,0.0
311,1.0,1.0,0.0
312,2.0,2.0,0.0
313,6.0,16.0,10.0
314,1.0,1.0,0.0
315,0.0,2.0,2.0
316,10.0,14.0,4.0
317,5.0,14.0,9.0
318,2.0,6.0,4.0
319,10.0,24.0,14.0
320,12.0,27.0,15.0
321,7.0,13.0,6.0
322,17.0,22.0,5.0
